year,cruise_line,ship,voyage_dates_raw,voyage_end,causative_agent,pax_ill,pax_total,pax_pct_page,crew_ill,crew_total,crew_pct_page,era,source_url,retrieved
2026,Lindblad Expeditions,National Geographic Sea Bird,7/15/2026 – 7/20/2026,2026-07-20,unknown,8,57,14.0,5,26,19.0,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/national-geographic-sea-bird-july-2026-2.html,2026-08-30
2026,Lindblad Expeditions,National Geographic Sea Bird,7/10/2026 – 7/15/2026,2026-07-15,unknown,18,62,29.0,1,26,3.9,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/national-geographic-sea-bird-july-2026.html,2026-08-30
2026,Princess Cruises,Ruby Princess,6/12/2026 – 7/2/2026,2026-07-02,norovirus,107,3032,3.5,25,1144,2.2,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/ruby-princess-june-2026.html,2026-08-30
2026,Lindblad Expeditions,National Geographic Sea Bird,6/25/2026 – 6/30/2026,2026-06-30,norovirus,19,68,28,2,27,7.4,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/national-geographic-sea-bird-june-2026.html,2026-08-30
2026,Lindblad Expeditions,National Geographic Sea Bird,5/26/2026 – 5/31/2026,2026-05-31,norovirus,9,66,13.6,3,24,12.5,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/national-geographic-sea-bird-may-2026.html,2026-08-30
2026,Princess Cruises,Caribbean Princess,4/28/2026 – 5/11/2026,2026-05-11,norovirus,145,3116,4.7,15,1131,1.3,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/caribbean-princess-may-2026.html,2026-08-30
2026,Oceania Cruises,Insignia,4/7/2026 – 4/14/2026,2026-04-14,e. coli,19,633,3.0,3,394,0.8,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/oceania-insignia-april-2026.html,2026-08-30
2026,Princess Cruises,Star Princess,3/7/2026 – 3/14/2026,2026-03-14,norovirus,141,4307,3.3,52,1561,3.3,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/star-princess-march-2026.html,2026-08-30
2026,Regent Seven Seas,Seven Seas Mariner,1/11/2026 – 2/1/2026,2026-02-01,e. coli,21,631,3.3,6,458,1.3,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/seven-seas-mariner-january-2026.html,2026-08-30
2025,Holland America Line,Rotterdam,12/28/2025 – 1/9/2026,2026-01-09,norovirus,85,2593,3.3,9,1005,0.9,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/rotterdam-december-2025.html,2026-08-30
2025,Celebrity Cruises,Celebrity Eclipse,12/20/2025 – 12/28/2025,2025-12-28,norovirus,95,3042,3.1,9,1235,0.7,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/celebrity-eclipse-december-2025.html,2026-08-30
2025,Aida Cruises,AIDAdiva,11/10/2025 – 12/16/2025,2025-12-16,norovirus,106,2007,5.3,8,640,1.3,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/aidadiva-november-2025.html,2026-08-30
2025,Oceania Cruises,Oceania Insignia,10/16/2025 – 10/27/2025,2025-10-27,norovirus,88,637,13.8,8,391,2.1,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/oceania-insignia-october-2025.html,2026-08-30
2025,Royal Caribbean International,Serenade of the Seas,9/19/2025 – 10/2/2025,2025-10-02,norovirus,128,1874,6.8,7,883,0.8,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/serenade-of-the-seas-september-2025.html,2026-08-30
2025,Royal Caribbean International,Navigator of the Seas,7/4/2025 – 7/11/2025,2025-07-11,norovirus,134,3914,3.4,7,1266,0.6,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/navigator-of-the-seas-july-2025.html,2026-08-30
2025,Regent Seven Seas,Seven Seas Explorer,4/26/2025 – 5/14/2025,2025-05-14,unknown,22,666,3.0,2,545,0.4,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/seven-seas-explorer-may-2025.html,2026-08-30
2025,Holland America Line,Zuiderdam,1/4/2025-5/9/2025,2025-05-09,unknown,56,1149,4.9,14,751,1.9,post,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/zuiderdam-january-2025.html,2026-08-30
